display,name_kr,name_en,ticker,type,enabled,aliases
감성코퍼레이션,감성코퍼레이션,,036620.KQ,company,1,
화신,화신,,010690.KS,company,1,
제이스텍,제이스텍,,090470.KQ,company,1,
하이스틸,하이스틸,,071090.KS,company,1,
드림씨아이에스,드림씨아이에스,,223250.KQ,company,1,
덴티스,덴티스,,261200.KQ,company,1,
이오테크닉스,이오테크닉스,,039030.KQ,company,1,
제주항공,제주항공,,089590.KS,company,1,
바이오다인,바이오다인,,314930.KQ,company,1,
세진티에스,세진티에스,,067770.KQ,company,1,
LG,LG,,003550.KS,company,1,
한국금융지주,한국금융지주,,071050.KS,company,1,
우리기술투자,우리기술투자,,041190.KQ,company,1,
대한항공,대한항공,,003490.KS,company,1,
